id,short_code,name,classification,type,size,color,description_main,description_extra,manufacturer,part_number
household_toy_animal_to_sort,,Household Toy Animal To Sort,household_toy,animal,,,to_sort,,,
household_toy_ball_to_sort,,Household Toy Ball To Sort,household_toy,ball,,,to_sort,,,
household_toy_building_to_sort,,Household Toy Building To Sort,household_toy,building,,,to_sort,,,
household_toy_craft_to_sort,,Household Toy Craft To Sort,household_toy,craft,,,to_sort,,,
household_toy_dinosaur_to_sort,,Household Toy Dinosaur To Sort,household_toy,dinosaur,,,to_sort,,,
household_toy_doll_baby_to_sort,,Household Toy Doll Baby To Sort,household_toy,doll_baby,,,to_sort,,,
household_toy_doll_barbie_to_sort,,Household Toy Doll Barbie To Sort,household_toy,doll_barbie,,,to_sort,,,
household_toy_doll_sylvanian_family_to_sort,,Household Toy Doll Sylvanian Family To Sort,household_toy,doll_sylvanian_family,,,to_sort,,,
household_toy_doll_to_sort,,Household Toy Doll To Sort,household_toy,doll,,,to_sort,,,
household_toy_fidget_to_sort,,Household Toy Fidget To Sort,household_toy,fidget,,,to_sort,,,
household_toy_game_to_sort,,Household Toy Game To Sort,household_toy,game,,,to_sort,,,
household_toy_pretend_job_to_sort,,Household Toy Pretend Job To Sort,household_toy,pretend_job,,,to_sort,,,
household_toy_pretend_kitchen_dish_to_sort,,Household Toy Pretend Kitchen Dish To Sort,household_toy,pretend_kitchen_dish,,,to_sort,,,
household_toy_pretend_kitchen_food_to_sort,,Household Toy Pretend Kitchen Food To Sort,household_toy,pretend_kitchen_food,,,to_sort,,,
household_toy_pretend_kitchen_to_sort,,Household Toy Pretend Kitchen To Sort,household_toy,pretend_kitchen,,,to_sort,,,
household_toy_pretend_kitchen_utensil_to_sort,,Household Toy Pretend Kitchen Utensil To Sort,household_toy,pretend_kitchen_utensil,,,to_sort,,,
household_toy_pretend_pet_to_sort,,Household Toy Pretend Pet To Sort,household_toy,pretend_pet,,,to_sort,,,
household_toy_pretend_to_sort,,Household Toy Pretend To Sort,household_toy,pretend,,,to_sort,,,
household_toy_puzzle_to_sort,,Household Toy Puzzle To Sort,household_toy,puzzle,,,to_sort,,,
household_toy_stuffie_to_sort,,Household Toy Stuffie To Sort,household_toy,stuffie,,,to_sort,,,
